"","depth.corrected","Ice.age..GT4.","Dust.Conc..ppm."
"481",3124.41,325629,0.012
"482",3128.41,326761,0.01
"483",3131.41,327730,0.046
"484",3137.41,329848,0.117
"485",3140.41,331050,0.142
"486",3147.41,334306,0.586
"487",3148.41,334805,1.035
"488",3152.41,336766,0.395
"489",3155.41,338233,0.366
"490",3158.41,339706,0.439
"491",3161.41,341187,0.164
"492",3164.41,342594,0.034
"493",3172.41,346523,0.277
"494",3178.41,349620,0.401
"495",3188.41,355187,0.38
"496",3194.41,358466,0.24
"497",3197.41,360071,0.155
"498",3205.41,364333,0.076
"499",3208.41,365962,0.268
"500",3211.41,367507,0.058
"501",3214.41,369034,0.091
"502",3218.41,371188,0.224
"503",3221.41,372991,0.208
"504",3224.41,374711,0.071
"505",3227.41,376381,0.085
"506",3233.41,379524,0.019
"507",3236.41,381227,0.125
"508",3238.41,382318,0.033
"509",3248.41,388065,0.122
"510",3254.41,391928,0.114
"511",3257.41,393908,0.157
"512",3260.41,395792,0.023
"513",3263.41,397482,0.023
"514",3266.41,399134,0.019
"515",3268.41,400228,0.021
"516",3274.41,403501,0.033
"517",3278.41,405617,0.016
"518",3287.41,410200,0.018
"519",3288.41,410683,0.012
"520",3300.41,417095,0.013
"521",3306.41,420527,0.015
"522",3308.41,421761,0.012
